S_1,F_1,S_2,F_2
0.0,-2.8557502673720507e-08,0.0,1.7995336065723667e-08
0.0,-6.832598842265725e-08,0.0,-6.512924812795976e-08
0.0,-1.259292986333094e-07,0.0,-4.0057545902527625e-08
0.0,1.0131192595963512e-07,0.0,6.274754582591413e-08
0.0,2.1582332010439153e-08,0.0,2.3871692178545345e-08
0.0,-2.288438167852292e-07,0.0,-4.135509357183764e-08
0.0,-3.8029017446206115e-08,0.9999999999999999,-1.83711307499834e-08
0.0,2.354282457872593e-09,-1.1102230246251565e-16,-7.09858852587786e-08
0.0,-6.181301017704752e-08,4.440892098500626e-16,-2.554195361881283e-08
0.0,-3.6870021347112946e-08,-3.3306690738754696e-16,1.394784590047491e-08
0.0,6.217378167860943e-10,1.0000000000000002,-3.1201274168779487e-07
0.0,2.6317761303573653e-10,-5.551115123125783e-16,8.326812007908301e-07
0.0,-1.0471734590566525e-12,5.551115123125783e-16,-1.0761123121483235e-07
0.0,7.332964402362308e-10,-2.220446049250313e-16,2.8156225653219744e-07
0.0,9.584707472143342e-11,4.440892098500626e-16,6.856873824290233e-08
0.0,3.8980459138304745e-10,-4.440892098500626e-16,-1.2667146620515268e-07
0.0,-6.789807077689505e-10,-1.1102230246251565e-16,-1.7487609511590588e-07
0.0,-3.0838400583155234e-10,-1.1102230246251565e-16,-1.3393432709563066e-07
0.0,-2.7478840036731983e-11,2.220446049250313e-16,-3.1094128871700356e-07
0.0,-5.631772471981212e-10,0.0,-4.623382551471878e-07
0.0,1.1667441804363856e-10,0.0,-4.988927742033411e-07
0.0,2.715113467388619e-10,2.220446049250313e-16,-6.66213225031242e-08
0.0,-5.441857964250118e-10,-2.220446049250313e-16,-1.7883875500501747e-07
0.0,9.951562629506585e-11,0.0,-1.717704066095393e-07
1.0,4.4955929257017774e-11,-3.3306690738754696e-16,-5.962624527455773e-08
-1.1102230246251565e-16,-1.0474782013991655e-10,2.220446049250313e-16,8.259249284492398e-09
-1.1102230246251565e-16,-2.1231320868064764e-11,-1.1102230246251565e-16,-9.231743973714402e-08
2.220446049250313e-16,-7.806981103253285e-11,-1.1102230246251565e-16,-1.0964694752146908e-08
0.0,1.0096662776959415e-07,0.035856102400107615,4.737393464893102e-06
0.0,-1.7114086858782642e-08,-0.020646057596402034,9.523626431473538e-07
1.0000000000000002,-2.771427034531371e-07,0.0255544454237302,-1.4045102943782715e-06
0.0,1.592838486885738e-07,0.0053786271444169476,8.444921149930454e-06
0.0,-1.1029696338482604e-07,0.04663775292574002,-8.060656364250465e-06
-3.3306690738754696e-16,-2.633328222145792e-07,-0.06166222266960064,-3.934974483854602e-06
1.1102230246251565e-16,-9.163878189610841e-08,-0.019471735286287206,-1.4515149814542397e-06
0.0,-1.1681852356559826e-07,0.05964289983774562,-5.302284989738837e-06
