F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F1_10,F1_11,F1_12,F1_13,F1_14,F1_15,F1_16,F1_17,F1_18,F1_19,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S1_7,S1_8,S1_9,S1_10,S1_11,S1_12,S1_13,S1_14,S1_15,S1_16,S1_17,S1_18,S1_19,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F2_8,F2_9,F2_10,F2_11,F2_12,F2_13,F2_14,F2_15,F2_16,F2_17,F2_18,F2_19,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_8,S2_9,S2_10,S2_11,S2_12,S2_13,S2_14,S2_15,S2_16,S2_17,S2_18,S2_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999999,4.0505967469073314e-10,2.0028078528966374e-09,8.294877007486434e-11,5.765254856848756e-09,1.3437514989611543e-10,8.098184123284113e-10,3.6129051306232894e-09,1.125444478722315e-08,9.771561404470219e-09,6.977934763341409e-09,1.1554870571472974e-08,2.3634570425201674e-07,5.440903748876735e-07,8.288464755423775e-07,9.557746693644731e-07,1.0982883736687653e-06,1.186148369924922e-06,1.1319523991915048e-06,1.0461524936999922e-06,0.0,1.4827881145151878e-09,2.1041641762309383e-10,1.4891592903243377e-09,0.0,1.531254900655199e-10,4.69815353287828e-10,7.254998343753094e-09,2.284504869998205e-09,7.601128004797175e-10,6.026799975744623e-09,9.354782113391024e-08,2.1854461635939514e-07,5.045708462603215e-07,1.019981789340818e-06,7.749710562166001e-07,6.292761611348397e-07,5.984431311389926e-07,6.77799118875555e-07
0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999999,1.0,1.0,0.9999999999999997,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966478757609025e-10,2.001188104117091e-10,0.0,1.148441119980248e-10,2.3604702581447866e-09,2.3083570555026966e-09,2.6115762441492054e-09,3.565219147683152e-09,2.3257751807781448e-09,1.6639094879700168e-09,1.3112645991242289e-08,1.1450751351560484e-07,2.537643538857992e-07,3.8993367468265205e-07,4.637776612526068e-07,7.260172424139455e-07,1.3415359603641263e-06,0.0,0.0,0.0,1.7320435086176645e-10,9.796865541034094e-11,3.3228936269225076e-11,4.0258054667674516e-10,0.0,2.2095916762943092e-11,3.416362331920553e-11,3.1256376792354603e-10,2.2180559611229e-10,3.936592324338406e-09,3.671171340258184e-08,3.710770393183793e-08,6.521666442438346e-08,6.383571857782044e-08,8.15291024025555e-08,1.555309474099431e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,4.2053871496250395e-10,0.0,0.0,2.1065687527688226e-10,0.0,1.1418042067390389e-10,6.327289026053506e-10,4.173126649797965e-10,2.825632366976194e-10,3.003654575062242e-10,1.9375281101741138e-10,2.5998193042831017e-10,5.574181539957923e-10,2.06840257421792e-09,6.411599895450592e-09,7.545910163386794e-09,9.625185271033842e-09,1.2372675950445e-08,1.612789199967324e-08,0.0,2.715711655554287e-10,8.294877007486434e-11,9.150172897154363e-10,8.928794370532956e-11,3.478916321686398e-11,7.12901931931853e-11,3.024872019530278e-11,2.940784407656771e-10,3.2987007708706886e-10,3.922714909843084e-10,1.543310468310466e-09,3.3783228714501234e-09,4.465563141486939e-09,8.782911598004261e-09,1.0740984190960034e-08,2.0396272581990614e-08,2.1546258288651642e-08,2.623117758560056e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.9999999999999998,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.9999999999999997,1.0000000000000004,7.910227362017963e-10,1.4645485935105286e-10,5.086278509480735e-10,2.4696316935912677e-09,1.0913000680901063e-08,2.8642766825015542e-08,6.563545440485541e-08,5.9293406096116995e-08,8.16687503402136e-08,1.134675848390998e-07,7.38188191462541e-08,1.6511269151919805e-07,2.08184822270141e-07,2.18526011508402e-07,2.5963247338722797e-07,2.854531601315102e-07,3.418506480556971e-07,3.6650387187364685e-07,4.686122736075049e-07,1.3796464415349874e-09,2.6060826940899064e-09,2.8225875470244687e-09,2.2016102585453724e-08,2.04519750912624e-08,1.1887962081402748e-08,1.7398790852496404e-08,4.230245984615522e-08,7.490755464800713e-08,1.9704032183653908e-07,3.0027938038301725e-07,7.280770518036661e-07,8.586333706261939e-07,9.879459923922695e-07,1.4871014855089015e-06,1.0217563101377892e-06,8.67516763491949e-07,9.812665382469277e-07,1.1880845363521075e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.9999999999999996,1.0,1.0000000000000002,0.9999999999999997,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999997,4.07376029443185e-07,4.208146407336244e-07,4.731695753434906e-07,5.309899137273532e-07,4.996390799760775e-07,4.54368532132321e-07,4.132524708211349e-07,3.0878863412908684e-07,2.7666600317388655e-07,2.59352916032185e-07,2.574633853669184e-07,2.455013031976705e-07,2.703079502452965e-07,2.843560707788129e-07,2.370416538610698e-07,2.2182708647733307e-07,2.527348186731615e-07,2.4721507401181954e-07,2.7055947668941373e-07,6.3485651846662e-08,1.0180154959016363e-07,1.1215085251592428e-07,8.495340573233534e-08,6.467336035598237e-08,6.629474036401461e-08,7.849146150817888e-08,6.891051143043115e-08,4.787142842133107e-08,4.664580579571975e-08,3.992312649359064e-08,2.2777159003339875e-08,2.0124366351126354e-08,1.0776100456411086e-08,5.520944545978068e-09,4.8285256459834615e-09,6.3129874661171925e-09,4.124013908146651e-09,3.068647047577144e-09
0.0,1.0000000000000002,0.9999999999999996,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,0.9999999999999999,2.9317298633202427e-08,4.115155332051756e-08,1.0009179032266502e-07,9.554628572772117e-08,6.880202398917846e-08,1.0346622616452806e-07,1.588405829977546e-07,3.4037593508173816e-07,3.9790507742054617e-07,6.313959715953388e-07,7.996379906671792e-07,1.0255584243168415e-06,1.5161534065555316e-06,2.386864025538671e-06,3.0292453402580578e-06,4.166113671999483e-06,6.127609731265693e-06,7.235372413560981e-06,7.536255452578189e-06,3.205494936153741e-09,4.581775814305189e-09,9.688583768596715e-09,1.1440954561514616e-08,1.652249643768755e-08,2.7097048871382868e-08,4.725145661410579e-08,1.3201395887563194e-07,1.4893476247834768e-07,2.178541549824331e-07,2.4851423177096874e-07,2.027902283430194e-07,2.404084568752296e-07,2.414057334476638e-07,2.0832499529888083e-07,3.291198765964509e-07,4.718584989404917e-07,6.856002357835678e-07,7.135529983770539e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000002,2.4354734451392803e-09,6.006217989629193e-09,8.862434919265639e-09,9.32482495663578e-09,1.082402008023564e-08,1.5354216653662435e-08,2.5925180135999425e-08,2.2020554446555706e-08,3.544450937198462e-08,6.400323648847461e-08,2.4077047413584294e-07,2.781773190463355e-07,4.353251341626674e-07,6.557706058174517e-07,8.598767919920647e-07,9.55512660993918e-07,1.0573613678843684e-06,1.8098586622272706e-06,1.7557677324475663e-06,7.18900216689633e-08,5.941416798549426e-08,1.601645106319438e-07,1.836063255211684e-07,4.385206111123807e-07,9.202124431340053e-07,1.239331368196872e-06,1.5486307916035003e-06,1.8378487993686576e-06,1.82346776682607e-06,1.6314747654178064e-06,1.3280832035889035e-06,1.7760904256647336e-06,2.396923650849203e-06,2.059540111076785e-06,2.843668016794254e-06,3.4940003388328478e-06,5.022753657613066e-06,6.6085167873097815e-06
1.4814898340652216,1.4032348287774097,1.3375931820188312,1.343044847601181,1.3961722679073678,1.4643157212024334,1.3821424539067726,1.4102914291250894,1.258634530979779,1.4472509605477646,1.4014873370793353,1.419140032830274,1.385173190521349,1.3472813422001544,1.4401447810761716,1.3598765043131624,1.3950749055078566,1.4895955751769159,1.4048861134343495,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999998,0.9999999999999996,1.0000000000000002,0.9999999999999997,3.0045404457723636e-07,3.919925092077392e-07,3.285771754235611e-07,4.1451744436926674e-07,2.950425340486618e-07,3.3320285410809445e-07,3.0604563505676197e-07,3.2024670417740706e-07,3.8258605741248173e-07,3.894421070071985e-07,4.920082858461683e-07,6.992365456426342e-07,8.922020697355038e-07,1.1723440366040449e-06,1.2558441994769965e-06,1.67708216167739e-06,2.220832277544105e-06,2.4075086002994796e-06,2.287128722855414e-06,9.018266600158143e-09,8.99349549277062e-09,5.27881250933504e-09,3.692601335814061e-09,3.74084077048309e-09,3.9065597201570764e-09,5.687115289809697e-09,9.89498274428513e-09,1.0058368493659487e-08,1.7340123115161532e-08,1.6967051408300905e-08,1.3251939634528753e-08,1.5279742271445683e-08,1.7067166524498133e-08,1.4893647826141886e-08,1.4417792826293407e-08,1.714256994134189e-08,1.4738811326964197e-08,1.6697807581067536e-08
1.2442295147049978,1.255085402068903,1.299940037623203,1.275970291612631,1.2562213167842302,1.263555864124861,1.150482616526249,1.329219194812632,1.2978513989268734,1.2626383785067394,1.2659140985621304,1.2483384996666282,1.2804326388990546,1.2596097425578001,1.2653760962921576,1.2947262881213342,1.327848713424816,1.3482958149244801,1.2382385298379313,0.0,0.0,0.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000004,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,4.919972116113058e-06,4.632949980987178e-06,6.939013019291451e-06,8.74889533406531e-06,1.0240846040687757e-05,1.1057166011596564e-05,1.0423196545161773e-05,9.281957409257302e-06,7.83856353336887e-06,6.978706142035662e-06,5.730005068471655e-06,5.049035280535463e-06,4.802881949217408e-06,4.6411303628701715e-06,4.75234055556939e-06,3.767425437217753e-06,3.675810830827686e-06,2.835597069861251e-06,2.2801593786425656e-06,9.608337858679761e-08,1.227732800757053e-07,1.640594902596604e-07,3.013286203668031e-07,4.105613385263496e-07,5.773192526703496e-07,6.466202592037007e-07,8.638933707061369e-07,8.388777530399238e-07,9.297150654674624e-07,9.202506475958216e-07,9.465580887990654e-07,9.425536632079457e-07,8.342079240719613e-07,8.622235156963143e-07,8.642587658869161e-07,9.617695752695e-07,9.583226642462251e-07,8.387000320908555e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,0.9999999999999997,1.0,1.0,1.0000000000000002,0.9999999999999999,0.0,0.0,0.0,5.96046212386625e-11,0.0,5.206266706636598e-09,0.0,1.3098742174255661e-09,5.27548907336417e-10,0.0,2.6787647308679217e-10,4.360399630254363e-09,1.6444462414000326e-08,3.746096002288368e-08,9.034650005901312e-08,1.8382666979732676e-07,2.7838359955012494e-07,3.424386619599318e-07,3.9080454996565093e-07,0.0,0.0,0.0,1.906391672301666e-09,0.0,7.962525216953509e-09,6.161579069186018e-09,1.5631246785829945e-08,9.838776460213694e-10,0.0,4.8754838721798425e-09,3.51519062261052e-09,3.317378086120648e-09,2.1770989694358534e-08,8.28982532397049e-08,2.723992480468951e-07,7.380242124099823e-07,2.06355458658436e-06,3.119813413832162e-06
